[Example 1]
state: (11, 28, 14, 5) | action: 1
state: (9, 27, 14, 5) | action: 0
state: (7, 27, 12, 5) | action: 1
state: (5, 26, 12, 5) | action: 1
state: (3, 25, 12, 5) | action: 1
state: (1, 24, 12, 5) | action: 3
state: (1, 23, 12, 4) | action: 2
state: (1, 23, 10, 3) | action: 3
state: (1, 22, 10, 2) | action: 3
state: (1, 21, 10, 1) | action: 1
state: (0, 20, 10, 1) | action: 3
state: (0, 19, 10, 0) | action: 0
state: (0, 19, 8, 0) | action: 1
state: (0, 18, 8, 0) | action: 1
state: (0, 17, 8, 0) | action: 1
state: (0, 16, 8, 0) | action: 1
state: (0, 15, 8, 0) | action: 0
state: (0, 15, 6, 0) | action: 1
state: (0, 14, 6, 0) | action: 1
state: (0, 13, 6, 0) | action: 1
state: (0, 12, 6, 0) | action: 1
state: (0, 11, 6, 0) | action: 0
state: (0, 11, 4, 0) | action: 1
state: (0, 10, 4, 0) | action: 1
state: (0, 9, 4, 0) | action: 1
state: (0, 8, 4, 0) | action: 1
state: (0, 7, 4, 0) | action: 0
state: (0, 7, 2, 0) | action: 1
state: (0, 6, 2, 0) | action: 1
state: (0, 5, 2, 0) | action: 1
state: (0, 4, 2, 0) | action: 1
state: (0, 3, 2, 0) | action: 0
state: (0, 3, 0, 0) | action: 1
state: (0, 2, 0, 0) | action: 1
state: (0, 1, 0, 0) | action: 1

[Example 21]
state: (8, 1, 13, 7) | action: 0
state: (6, 1, 11, 7) | action: 0
state: (4, 1, 9, 7) | action: 0
state: (2, 1, 7, 7) | action: 2
state: (2, 1, 5, 6) | action: 2
state: (2, 1, 3, 5) | action: 2
state: (2, 1, 1, 4) | action: 2
